Series ID,ndemplsa,ndlfprsa,gfemplnsa,ndemplnsa,ndlfprnsa
"Apr
2010",363391,72.2,53463,364263,72.4
"May
2010",364640,72.3,53456,369026,72.8
"Jun
2010",365524,72.4,52463,372549,74.0
"Jul
2010",366120,72.4,51890,373134,73.7
"Aug
2010",366628,72.4,51743,373149,73.6
"Sep
2010",367203,72.4,52426,370569,72.6
"Oct
2010",367989,72.4,53854,370695,72.3
"Nov
2010",368950,72.5,53532,365752,71.6
"Dec
2010",369920,72.5,52878,364429,71.5
"Jan
2011",370786,72.6,52403,362166,71.5
"Feb
2011",371452,72.6,52473,364172,71.7
"Mar
2011",371894,72.6,52384,366891,72.1
"Apr
2011",372188,72.5,52668,371060,72.3
"May
2011",372496,72.5,52905,376189,72.9
"Jun
2011",372985,72.5,52164,379428,74.0
"Jul
2011",373776,72.6,51683,381261,73.9
"Aug
2011",374881,72.6,51233,381404,73.8
"Sep
2011",376216,72.7,52630,379791,73.0
"Oct
2011",377584,72.8,53282,380043,72.7
"Nov
2011",378801,72.8,53227,376334,72.0
"Dec
2011",379791,72.8,52953,374466,71.8
"Jan
2012",380609,72.8,52062,372374,71.7
"Feb
2012",381373,72.8,52074,373870,71.9
"Mar
2012",382069,72.8,51806,375908,72.1
"Apr
2012",382664,72.8,52142,381077,72.5
"May
2012",383260,72.7,52910,387159,73.2
"Jun
2012",383880,72.7,52310,392108,74.5
"Jul
2012",384458,72.7,51804,392040,74.1
"Aug
2012",384938,72.6,51197,389735,73.4
"Sep
2012",385324,72.5,52694,389083,72.8
"Oct
2012",385682,72.5,53250,389756,72.6
"Nov
2012",386044,72.4,53023,382664,71.4
"Dec
2012",386448,72.3,52419,380883,71.2
"Jan
2013",386941,72.2,51631,378269,71.2
"Feb
2013",387536,72.2,51729,380543,71.4
"Mar
2013",388244,72.1,51629,382449,71.5
"Apr
2013",389070,72.1,51686,386829,71.8
"May
2013",389822,72.1,52447,394085,72.6
"Jun
2013",390402,72.0,52231,398206,73.7
"Jul
2013",390809,71.9,51381,398173,73.2
"Aug
2013",391018,71.8,51124,396966,72.8
"Sep
2013",391090,71.7,52128,395365,72.0
"Oct
2013",391157,71.5,52460,392644,71.3
"Nov
2013",391386,71.5,52252,389927,70.9
"Dec
2013",391849,71.4,51614,385675,70.2
"Jan
2014",392552,71.4,51126,384063,70.3
"Feb
2014",393523,71.4,51448,386402,70.7
"Mar
2014",394726,71.5,51491,389389,71.0
"Apr
2014",395968,71.6,51573,393799,71.2
"May
2014",397170,71.7,51753,400535,72.1
"Jun
2014",398374,71.8,52017,406400,73.4
"Jul
2014",399572,71.9,51437,407744,73.3
"Aug
2014",400807,72.0,51109,406034,72.8
"Sep
2014",401994,72.1,52295,403818,72.0
"Oct
2014",402968,72.1,53277,406908,72.2
"Nov
2014",403536,72.1,52784,401822,71.5
"Dec
2014",403589,72.0,52311,398483,71.0
"Jan
2015",403094,71.8,51955,394829,70.8
"Feb
2015",402107,71.6,52272,395039,70.8
"Mar
2015",400873,71.3,52418,394947,70.7
"Apr
2015",399699,71.0,52615,397540,70.7
"May
2015",398775,70.8,52758,402417,71.3
"Jun
2015",398126,70.5,52702,405511,72.0
"Jul
2015",397805,70.4,51851,405459,71.7
"Aug
2015",397788,70.4,51570,403692,71.2
"Sep
2015",397992,70.4,53173,400670,70.4
"Oct
2015",398304,70.5,54264,401302,70.4
"Nov
2015",398595,70.6,53921,396260,69.8
"Dec
2015",398772,70.7,53769,393880,69.8
"Jan
2016",398799,70.8,53965,389986,69.7
"Feb
2016",398708,70.8,54048,392072,70.2
"Mar
2016",398605,70.9,54397,392997,70.5
"Apr
2016",398635,70.9,54579,396715,70.7
"May
2016",398875,70.9,54515,402365,71.3
"Jun
2016",399269,71.0,54050,406147,72.4
"Jul
2016",399631,71.0,53300,407654,72.3
"Aug
2016",399770,71.0,53205,405956,72.0
"Sep
2016",399634,70.9,54589,403430,71.1
"Oct
2016",399286,70.8,55028,402159,70.7
"Nov
2016",398987,70.8,54675,396642,70.0
"Dec
2016",398992,70.7,54167,391892,69.5
